filename	text	duration	sampling_rate	speaker
khm_0308_0011865648.wav	ស្ពាន កំពង់ ចម្លង អ្នកលឿង នៅ ព្រៃវែង ជា ស្ពាន វែង ជាង គេ ក្នុង ព្រះ រាជាណាចក្រ កម្ពុជា	6.997	48000	0308
khm_0308_0032157149.wav	ភ្លើង កំពុង ឆាប ឆេះ ផ្ទះ ប្រជា ពលរដ្ឋ នៅ សង្កាត់ ឫស្សីកែវ	4.864	48000	0308
khm_0308_0038959268.wav	អ្នក សុំ ទាន ដេក ប្រកាច់ ម្នាក់ ឯង ក្បែរ ខ្លោងទ្វារ វត្ត ស្រះចក ផ្នែក ខាង កើត	5.888	48000	0308
khm_0308_0054635313.wav	ស្ករ ត្នោត ដែល មាន គុណភាព ល្អ ផលិត នៅ ខេត្ត កំពង់ស្ពឺ	4.352	48000	0308
khm_0308_0055735195.wav	ភ្នំបាខែង មាន កម្ពស់ តែ ចិត សិប ម៉ែត្រ សោះ	3.584	48000	0308
khm_0308_0104279731.wav	ពូ រ៉ឺម៉ក ពីរ ក្រុម បើក ឆាក ប្រយុទ្ធ យ៉ាង សាហាវ នៅ ម្ដុំ ផ្សារ ថ្មី	4.864	48000	0308
khm_0308_0222822061.wav	កំពត និង កែប គឺ ជា ទឹកដី មួយ ដែល ជាប់ នឹង សមុទ្រ	4.437	48000	0308
khm_0308_0351151115.wav	ចាប់ ពី រង្វង់មូល ស្តាត ចាស់ ដល់ ផ្សារ ច្បារអំពៅ	4.352	48000	0308
khm_0308_0410954155.wav	សមត្ថកិច្ច បិទ ផ្លូវ នៅ ស្ពាន ក្បាល ថ្នល់	3.328	48000	0308
khm_0308_0546676602.wav	ស្ពាន ប្រដឹស ត ភ្ជាប់ ទៅ ឆ្នេរ ខ្សាច់ ធម្មជាតិ កោះប៉ែន	4.693	48000	0308
khm_0308_0776983860.wav	ហើយ ក៏ រាយការណ៍ ប្រាប់ ទៅ នគរបាល ប៉ុស្តិ៍ រដ្ឋបាល ស្រះចក	4.779	48000	0308
khm_0308_0794692022.wav	ប៉ា គេ លេង បាល់ នៅ ស្តាត អូឡាំពិក	3.243	48000	0308
khm_0308_0839590797.wav	ស្ត្រី ក្រុង ច្បារមន បើក កិច្ច ប្រជុំ ផ្សព្វផ្សាយ ផែនការ ថ្មី	4.693	48000	0308
khm_0308_0851797397.wav	ជន ជាតិ ដើម ភាគ តិច ព្នង ខេត្ត មណ្ឌល គិរី គ្រោង តវ៉ា	4.864	48000	0308
khm_0308_0857317195.wav	កំពង់ត្រាច សម្បូរ ទៅ ដោយ ល្អាង ភ្នំ មិន ចាញ់ បរទេស	4.011	48000	0308
khm_0308_0915697904.wav	ខុនដូ ថ្មី មួយ ទៀត នឹង សាងសង់ នៅ បឹង កេងកង មួយ	4.096	48000	0308
khm_0308_0921092662.wav	អ្នក ភូមិ ក្នុង សង្កាត់ សាមគ្គី ខេត្ត ស្ទឹងត្រែង ត្អូញត្អែរ ខ្វះ កន្លែង ធ្វើ បុណ្យ	5.547	48000	0308
khm_0308_0935331837.wav	មហា វិថី ព្រះ ស៊ីសុវត្ថិ ទល់ មុខ កំពង់ផែ ភ្នំពេញ	4.437	48000	0308
khm_0308_0968225593.wav	គេ កំពុង ជួសជុល ប្រាសាទ បាយ័ន	3.499	48000	0308
khm_0308_1016909228.wav	អនុស្សាវរីយ៍ ទីលាន ប្រជាធិបតេយ្យ	3.328	48000	0308
khm_0308_1058616340.wav	ឆេះ ផ្ទះ នៅ ជិត ភូមិ សាមគ្គី ផ្លូវ ជាតិ លេខ ប្រាំ	4.437	48000	0308
khm_0308_1074998143.wav	រថយន្ត សាមុយ គ្លីនិក ច្បារអំពៅ បុក ម៉ូតូ គុប ជ្រុង របួស ធ្ងន់	5.035	48000	0308
khm_0308_1214631802.wav	ក្រោយ ពី ដើរ បិណ្ឌបាត្រ រួច ដល់ ម៉ោង ឆាន់ ពួក គេ ទាំង ពីរ នាក់ បាន ទៅ រក វត្ត នាគវ័ន្ត ដើម្បី ស្នាក់ អាស្រ័យ បណ្តោះអាសន្ន	9.216	48000	0308
khm_0308_1254895494.wav	ទៅ ដល់ មុខ សណ្ឋាគារ កាំបូឌីយ៉ាណា ទើប ឈប់	3.755	48000	0308
khm_0308_1317136377.wav	មេ ព្រៃ នៅ ឧដុង្គ និយាយ ថា មិន បាន យក លុយ ឈើ ទេ	5.376	48000	0308
khm_0308_1324416656.wav	កម្មករ រោងចក្រ ប៊ីយូធីហ៊្វូល នៅ បាវិត បន្ត ធ្វើ កូដកម្ម	5.291	48000	0308
khm_0308_1407652655.wav	ស្ពាន ជ្រោយចង្វា ថ្មី បាន បើក ការដ្ឋាន សាងសង់ នៅ ព្រឹក នេះ	5.035	48000	0308
khm_0308_1535164858.wav	សហគមន៍ នៅ ឧត្តរមានជ័យ អំពាវនាវ ឱ្យ រដ្ឋាភិបាល ជួយ ការពារ ដី ព្រៃ	5.717	48000	0308
khm_0308_1550099120.wav	វត្ត បទុម ឬ ហៅ ម្យ៉ាង ទៀត ថា វត្ត ខ្ពបតាយ៉ង	4.352	48000	0308
khm_0308_1647381184.wav	អភិបាល រង ខេត្ត កោះកុង	2.645	48000	0308
khm_0308_1937492044.wav	ប្រវត្តិ របស់ ស្រុក បាភ្នំ នៅ ខេត្ត ព្រៃវែង	3.669	48000	0308
khm_0308_1953618232.wav	រថយន្ត សាំងយ៉ុង ដឹក អ្នក ដំណើរ ចេញ ពី ស្រុក សៀមប៉ាង មក ខេត្ត ស្ទឹងត្រែង ចំនួន បី គ្រឿង បន្លំ ដឹក ឈើ ប្រណិត	8.192	48000	0308
khm_0308_2038514460.wav	ប្រាសាទ តាព្រហ្ម ទន្លេ បាទី ជា មន្ទីរ ពេទ្យ បុរាណ នា សម័យ ព្រះ បាទ ជ័យវរ្ម័ន ទី ប្រាំពីរ	7.083	48000	0308
khm_0308_2048773496.wav	ស្វាយអន្ទរ នៅ ក្នុង ខេត្ត ណា	2.645	48000	0308
khm_0308_2122927324.wav	អ្នក ភូមិ បឹងកក់ កំពុង យំ ស្រែក ទាមទារ សំណង សមរម្យ	4.181	48000	0308
khm_0308_2231221883.wav	និយាយ ពី ភ្នំ សន្ទុក សឹង ស្រក់ ទឹក មាត់ ភ្លាម តែម្ដង នឹក ឃើញ មាន់ ដុត ក្តៅ ក្ដៅ ដែល ល្បី ស្ទើរ ពេញ ទាំង ខេត្ត	7.509	48000	0308
khm_0308_2253945901.wav	សំរាម នៅ លើ កំណាត់ មហា វិថី វេងស្រេង	4.267	48000	0308
khm_0308_2293177758.wav	តើ ពាក្យ ចតុមុខ សំដៅ ទៅ លើ អ្វី	3.157	48000	0308
khm_0308_2323178423.wav	ត្រង់ ចំណុច ផ្លូវ ទំនប់ ខ្មែរ លើ តាម បណ្ដោយ ផ្លូវ ជាតិ ប្រាំមួយ អា ស្ថិត ក្នុង ភូមិ គៀនឃ្លាំង	6.571	48000	0308
khm_0308_2454882696.wav	មុខរបរ ចិញ្ចឹម ដង្កូវនាង នៅ កោះ ឧកញ៉ាតី	4.181	48000	0308
khm_0308_2509413682.wav	ចំការ ស្នេហ៍ មាន បុគ្គលិក ដ៏ រួសរាយ រាក់ទាក់ ចាំ ទទួល	4.267	48000	0308
khm_0308_2558016039.wav	បុរស ម្នាក់ ដេក ស្លាប់ នៅ ជិត វត្ត តាំង ក្រសាំង	4.011	48000	0308
khm_0308_2582013291.wav	ក្មេង ប្រុស អាយុ ប្រាំមួយ ឆ្នាំ ជិះ កង់ ធ្លាក់ ទឹក ទន្លេ បាសាក់	4.352	48000	0308
khm_0308_2652788495.wav	វត្ត ខ្លះ ក្នុង ខេត្ត ព្រះវិហារ ខ្សត់ខ្សោយ ចង្ហាន់ នៅ រដូវ កាន់ បិណ្ឌ	5.12	48000	0308
khm_0308_2680464831.wav	ជួប គ្នា ស្អែក ម៉ោង ប្រាំពីរ ព្រឹក នៅ សួន វត្ត បទុម ទាំង អស់ គ្នា	4.779	48000	0308
khm_0308_2724707299.wav	ផ្អើល អស់ អ្នក រស់នៅ ត្រើយ ខាង កើត ស្ពាន ជ្រោយចង្វារ	4.181	48000	0308
khm_0308_2794454505.wav	នៅ មុខ មន្ទីរពេទ្យ ពេទ្យ កាល់ម៉ែត	2.475	48000	0308
khm_0308_2824667655.wav	សាខា កាំកុងត្រូល ខេត្ដ មណ្ឌល គិរី បាន ចុះ ត្រួត ពិនិត្យ	4.181	48000	0308
khm_0308_2837765884.wav	ជប៉ុន ធ្វើ គម្រោង ទេសចរណ៍ ប្លែក ប្លែក លើ ផ្ទៃ ដី ប្រាំពីរ រយ ហិកតា នៅ ឧទ្យាន គិរីរម្យ	6.571	48000	0308
khm_0308_2872359114.wav	ព្រះ បាទ ជ័យវរ្ម័ន ទី ប្រាំពីរ បាន កសាង ប្រាសាទ បាយ័ន នៅ ឆ្នាំ មួយ ពាន់ ពីរ រយ	6.229	48000	0308
khm_0308_2970778153.wav	នៅ ក្នុង អាណាចក្រ ព្រៃវែង បើ ឡាន ឈើ មិន ក្រឡាប់ សមត្ថកិច្ច សម្ងំ ឈឹង	5.888	48000	0308
khm_0308_2974572228.wav	ឱ្យ ជីក ព្រែក ទម្លាយ ទឹក ពី បឹង ពោងពាយ មក	4.096	48000	0308
khm_0308_3021411248.wav	ផ្ទុះ កំប៉ុង ហ្គាស របួស សង្ឃ ប្រាំពីរ អង្គ នៅ ស្រុក សំរោង	4.608	48000	0308
khm_0308_3139742730.wav	ទឹក ជំនន់ ទន្លេ មេគង្គ នៅ ស្រុក កៀនស្វាយ	3.669	48000	0308
khm_0308_3148513921.wav	មជ្ឈមណ្ឌល បណ្ដុះបណ្ដាល វិជ្ជា ជីវៈ ដុនបូស្កូ	4.352	48000	0308
khm_0308_3156122691.wav	បើក រថយន្ត មក ចត នៅ ក្បែរ ស្តុប ទេព ផន	3.925	48000	0308
khm_0308_3178423391.wav	លោក អះអាង ថា ប៉ូលិស ស្រុក អារញ្ញ ប្រទេស ថៃ	3.755	48000	0308
khm_0308_3208871049.wav	អាយ អេហ្វ អិល ប្រជុំ ដោយ អ្នក ខ្លាំង ខ្លាំង ខាង ភាសា	4.096	48000	0308
khm_0308_3241001667.wav	កម្ពុជា រៀបចំ បុណ្យ សមុទ្រ នៅ ខេត្ត កែប	3.499	48000	0308
khm_0308_3361247987.wav	ក្រឡឹង ផ្សារ អូឡាំពិក ពីរ ជុំ ទើប រក ហាង ហ្នឹង ឃើញ	4.523	48000	0308
khm_0308_3456512931.wav	ប្រសព្វ រវាង មហា វិថី សហព័ន្ធ រុស្ស៊ី មហា វិថី ម៉ៅសេទុង និង មហា វិថី គីមអ៊ីលស៊ុង	6.741	48000	0308
khm_0308_3503209135.wav	ចេញ ពី ភ្នំពេញ ទៅ ភ្នំដិន កាត់ តាម ក្រុង តាខ្មៅ និង ខេត្ត តាកែវ	5.291	48000	0308
khm_0308_3585113701.wav	នគរបាល ខណ្ឌ មានជ័យ ឃាត់ ខ្លួន ជន សង្ស័យ	4.608	48000	0308
khm_0308_3609071813.wav	កំពង់ ចំលង ភ្នំពេញ អរិយក្សត្រ	2.987	48000	0308
khm_0308_3609588942.wav	ជំនន់ ទន្លេ មេគង្គ គំរាមកំហែង ក្រុង កំពង់ចាម	4.523	48000	0308
khm_0308_3695887623.wav	នៅ មន្ទីរ ពេទ្យ ព្រះ កុសមៈ ក្រុង ភ្នំពេញ	3.669	48000	0308
khm_0308_3870807299.wav	ស្ពាន ព្រះ មុន្នីវង្ស ត្រូវ បាន កសាង ឡើយ នៅ ឆ្នាំ មួយ ពាន់ ប្រាំបួន រយ ម្ភៃ ប្រាំបី	6.4	48000	0308
khm_0308_3919765454.wav	ម៉ូតូ ពន្លះ ម៉ូតូ របួស បាក់ ជើង ម្ខាង នៅ ស្រុក ស្ទឹងហាវ	4.949	48000	0308
